epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108610971,2024-01-24T17:03:30.971,1.160,0.657,0.746,0.108,-0.000
1706108610981,2024-01-24T17:03:30.981,1.170,0.657,0.746,0.108,-0.000
1706108610991,2024-01-24T17:03:30.991,1.180,0.657,0.746,0.108,-0.000
1706108611001,2024-01-24T17:03:31.001,1.190,0.657,0.746,0.108,-0.000
1706108611011,2024-01-24T17:03:31.011,1.200,0.657,0.746,0.108,-0.000
1706108611021,2024-01-24T17:03:31.021,1.210,0.657,0.746,0.108,-0.000
1706108611031,2024-01-24T17:03:31.031,1.220,0.657,0.746,0.108,-0.000
1706108611041,2024-01-24T17:03:31.041,1.230,0.657,0.746,0.108,-0.000
1706108611051,2024-01-24T17:03:31.051,1.240,0.657,0.746,0.108,-0.000
1706108611061,2024-01-24T17:03:31.061,1.250,0.657,0.746,0.108,-0.000
1706108611071,2024-01-24T17:03:31.071,1.260,0.657,0.746,0.108,-0.000
1706108611081,2024-01-24T17:03:31.081,1.270,0.657,0.746,0.108,-0.000
1706108611091,2024-01-24T17:03:31.091,1.280,0.657,0.746,0.108,-0.000
1706108611101,2024-01-24T17:03:31.101,1.290,0.657,0.746,0.108,-0.000
1706108611111,2024-01-24T17:03:31.111,1.300,0.657,0.746,0.108,-0.000
1706108611121,2024-01-24T17:03:31.121,1.310,0.657,0.746,0.108,-0.000
1706108611131,2024-01-24T17:03:31.131,1.320,0.657,0.746,0.108,-0.000
1706108611141,2024-01-24T17:03:31.141,1.330,0.657,0.746,0.108,-0.000
1706108611151,2024-01-24T17:03:31.151,1.340,0.657,0.746,0.108,-0.000
1706108611161,2024-01-24T17:03:31.161,1.350,0.657,0.746,0.108,-0.000
1706108611171,2024-01-24T17:03:31.171,1.360,0.657,0.746,0.108,-0.000
1706108611181,2024-01-24T17:03:31.181,1.370,0.657,0.746,0.108,-0.000
1706108611191,2024-01-24T17:03:31.191,1.380,0.657,0.746,0.108,-0.000
1706108611201,2024-01-24T17:03:31.201,1.390,0.657,0.746,0.108,-0.000
1706108611211,2024-01-24T17:03:31.211,1.400,0.657,0.746,0.108,-0.000
1706108611221,2024-01-24T17:03:31.221,1.410,0.657,0.746,0.108,-0.000
1706108611231,2024-01-24T17:03:31.231,1.420,0.657,0.746,0.108,-0.000
1706108611241,2024-01-24T17:03:31.241,1.430,0.657,0.746,0.108,-0.000
1706108611251,2024-01-24T17:03:31.251,1.440,0.657,0.746,0.108,-0.000
1706108611261,2024-01-24T17:03:31.261,1.450,0.657,0.746,0.108,-0.000
1706108611271,2024-01-24T17:03:31.271,1.460,0.657,0.746,0.108,-0.000
1706108611281,2024-01-24T17:03:31.281,1.470,0.657,0.746,0.108,-0.000
1706108611291,2024-01-24T17:03:31.291,1.480,0.657,0.746,0.108,-0.000
1706108611301,2024-01-24T17:03:31.301,1.490,0.657,0.746,0.108,-0.000
1706108611311,2024-01-24T17:03:31.311,1.500,0.657,0.746,0.108,-0.000
1706108611321,2024-01-24T17:03:31.321,1.510,0.657,0.746,0.108,-0.000
1706108611331,2024-01-24T17:03:31.331,1.520,0.657,0.746,0.108,-0.000
1706108611341,2024-01-24T17:03:31.341,1.530,0.657,0.746,0.108,-0.000
1706108611351,2024-01-24T17:03:31.351,1.540,0.657,0.746,0.108,-0.000
1706108611361,2024-01-24T17:03:31.361,1.550,0.657,0.746,0.108,-0.000
1706108611371,2024-01-24T17:03:31.371,1.560,0.657,0.746,0.108,-0.000
1706108611381,2024-01-24T17:03:31.381,1.570,0.657,0.746,0.108,-0.000
1706108611391,2024-01-24T17:03:31.391,1.580,0.657,0.746,0.108,-0.000
1706108611401,2024-01-24T17:03:31.401,1.590,0.657,0.746,0.108,-0.000
1706108611411,2024-01-24T17:03:31.411,1.600,0.657,0.746,0.108,-0.000
