Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y (number),Z (number)
MetaWear94,E25AD03D0194,Device,MAC,Timestamp,Time(03:00),Elapsed(s),W(number),X(number),Y,(number),Z,(number)
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149352,2024-02-08T12:45:49.352,52.62,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149362,2024-02-08T12:45:49.362,52.63,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149372,2024-02-08T12:45:49.372,52.64,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149382,2024-02-08T12:45:49.382,52.65,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149392,2024-02-08T12:45:49.392,52.66,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149402,2024-02-08T12:45:49.402,52.67,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149412,2024-02-08T12:45:49.412,52.68,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149462,2024-02-08T12:45:49.462,52.73,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149472,2024-02-08T12:45:49.472,52.74,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149482,2024-02-08T12:45:49.482,52.75,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149492,2024-02-08T12:45:49.492,52.76,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149502,2024-02-08T12:45:49.502,52.77,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149512,2024-02-08T12:45:49.512,52.78,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149522,2024-02-08T12:45:49.522,52.79,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149532,2024-02-08T12:45:49.532,52.8,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149542,2024-02-08T12:45:49.542,52.81,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149552,2024-02-08T12:45:49.552,52.82,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149562,2024-02-08T12:45:49.562,52.83,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149572,2024-02-08T12:45:49.572,52.84,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149582,2024-02-08T12:45:49.582,52.85,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149592,2024-02-08T12:45:49.592,52.86,0.6023367,0.0031051221,-0.7980152,-0.018776616
MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,MetaWear94,E25AD03D0194,1707389149602,2024-02-08T12:45:49.602,52.87,0.6023367,0.0031051221,-0.7980152,-0.018776616
