Device,MAC,Timestamp,Time(03:00),Elapsed(s),X(number),Y(number),Z (number)
ameE1:55:61:CB:91:61,E15561CB9161,1714119403005,null,null,0.64575076000,0.27008920000,0.71416444000,-0.00519592500
ameE1:55:61:CB:91:61,E15561CB9161,1714119403043,null,null,0.64573175000,0.27013470000,0.71416410000,-0.00524622100
ameE1:55:61:CB:91:61,E15561CB9161,1714119403133,null,null,0.64571834000,0.27011144000,0.71418434000,-0.00532945430
ameE1:55:61:CB:91:61,E15561CB9161,1714119403134,null,null,0.64569730000,0.27002290000,0.71423700000,-0.00530709750
ameE1:55:61:CB:91:61,E15561CB9161,1714119403134,null,null,0.64569074000,0.26994455000,0.71427330000,-0.00520517260
ameE1:55:61:CB:91:61,E15561CB9161,1714119403134,null,null,0.64571310000,0.26989102000,0.71427370000,-0.00514597600
ameE1:55:61:CB:91:61,E15561CB9161,1714119403135,null,null,0.64571350000,0.26994980000,0.71425146000,-0.00509285500
ameE1:55:61:CB:91:61,E15561CB9161,1714119403178,null,null,0.64568096000,0.27007650000,0.71423270000,-0.00513646400
ameE1:55:61:CB:91:61,E15561CB9161,1714119403180,null,null,0.64569970000,0.27015050000,0.71418700000,-0.00523756070
ameE1:55:61:CB:91:61,E15561CB9161,1714119403181,null,null,0.64567820000,0.27016070000,0.71420187000,-0.00533001900
ameE1:55:61:CB:91:61,E15561CB9161,1714119403182,null,null,0.64567780000,0.27009940000,0.71422510000,-0.00538546200
ameE1:55:61:CB:91:61,E15561CB9161,1714119403224,null,null,0.64564590000,0.27001888000,0.71428454000,-0.00536191980
ameE1:55:61:CB:91:61,E15561CB9161,1714119403225,null,null,0.64562225000,0.26991530000,0.71434610000,-0.00522139500
ameE1:55:61:CB:91:61,E15561CB9161,1714119403226,null,null,0.64561950000,0.26985994000,0.71437070000,-0.00504973200
ameE1:55:61:CB:91:61,E15561CB9161,1714119403227,null,null,0.64562000000,0.26992857000,0.71434480000,-0.00498769850
