epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108611149,2024-01-24T17:03:31.149,1.250,1.000,0.004,0.014,0.000
1706108611159,2024-01-24T17:03:31.159,1.260,1.000,0.004,0.014,0.000
1706108611169,2024-01-24T17:03:31.169,1.270,1.000,0.004,0.014,0.000
1706108611179,2024-01-24T17:03:31.179,1.280,1.000,0.004,0.014,0.000
1706108611189,2024-01-24T17:03:31.189,1.290,1.000,0.004,0.014,0.000
1706108611199,2024-01-24T17:03:31.199,1.300,1.000,0.004,0.014,0.000
1706108611209,2024-01-24T17:03:31.209,1.310,1.000,0.004,0.014,0.000
1706108611219,2024-01-24T17:03:31.219,1.320,1.000,0.004,0.014,0.000
1706108611229,2024-01-24T17:03:31.229,1.330,1.000,0.004,0.014,0.000
1706108611239,2024-01-24T17:03:31.239,1.340,1.000,0.004,0.014,0.000
1706108611249,2024-01-24T17:03:31.249,1.350,1.000,0.004,0.014,0.000
1706108611259,2024-01-24T17:03:31.259,1.360,1.000,0.004,0.014,0.000
1706108611269,2024-01-24T17:03:31.269,1.370,1.000,0.004,0.014,0.000
1706108611279,2024-01-24T17:03:31.279,1.380,1.000,0.004,0.014,0.000
1706108611289,2024-01-24T17:03:31.289,1.390,1.000,0.004,0.014,0.000
1706108611299,2024-01-24T17:03:31.299,1.400,1.000,0.004,0.014,0.000
1706108611309,2024-01-24T17:03:31.309,1.410,1.000,0.004,0.014,0.000
1706108611319,2024-01-24T17:03:31.319,1.420,1.000,0.004,0.014,0.000
1706108611329,2024-01-24T17:03:31.329,1.430,1.000,0.004,0.014,0.000
1706108611339,2024-01-24T17:03:31.339,1.440,1.000,0.004,0.014,0.000
1706108611349,2024-01-24T17:03:31.349,1.450,1.000,0.004,0.014,0.000
1706108611359,2024-01-24T17:03:31.359,1.460,1.000,0.004,0.014,0.000
1706108611369,2024-01-24T17:03:31.369,1.470,1.000,0.004,0.014,0.000
1706108611379,2024-01-24T17:03:31.379,1.480,1.000,0.004,0.014,0.000
1706108611389,2024-01-24T17:03:31.389,1.490,1.000,0.004,0.014,0.000
1706108611399,2024-01-24T17:03:31.399,1.500,1.000,0.004,0.014,0.000
1706108611409,2024-01-24T17:03:31.409,1.510,1.000,0.004,0.014,0.000
1706108611419,2024-01-24T17:03:31.419,1.520,1.000,0.004,0.014,0.000
1706108611429,2024-01-24T17:03:31.429,1.530,1.000,0.004,0.014,0.000
1706108611439,2024-01-24T17:03:31.439,1.540,1.000,0.004,0.014,0.000
1706108611449,2024-01-24T17:03:31.449,1.550,1.000,0.004,0.014,0.000
1706108611459,2024-01-24T17:03:31.459,1.560,1.000,0.004,0.014,0.000
1706108611469,2024-01-24T17:03:31.469,1.570,1.000,0.004,0.014,0.000
1706108611479,2024-01-24T17:03:31.479,1.580,1.000,0.004,0.014,0.000
1706108611489,2024-01-24T17:03:31.489,1.590,1.000,0.004,0.014,0.000
1706108611499,2024-01-24T17:03:31.499,1.600,1.000,0.004,0.014,0.000
1706108611509,2024-01-24T17:03:31.509,1.610,1.000,0.004,0.014,0.000
1706108611519,2024-01-24T17:03:31.519,1.620,1.000,0.004,0.014,0.000
1706108611529,2024-01-24T17:03:31.529,1.630,1.000,0.004,0.014,0.000
