Device,MAC,Timestamp,Time(03:00),elapsed (s),X(number),Y(number),Z (number)
4,E25AD03D0194,1721221265283,2024-07-17T16:01:05.283,1.88,-0.023464026,0.008176223,0.00529402
4,E25AD03D0194,1721221265293,2024-07-17T16:01:05.293,1.89,-0.024457216,0.009985006,0.007869455
4,E25AD03D0194,1721221265303,2024-07-17T16:01:05.303,1.9,-0.023007642,0.01083145,0.00847712
4,E25AD03D0194,1721221265313,2024-07-17T16:01:05.313,1.91,-0.023019506,0.0112112025,0.006141424
4,E25AD03D0194,1721221265323,2024-07-17T16:01:05.323,1.92,-0.023521889,0.009632678,0.007215367
4,E25AD03D0194,1721221265333,2024-07-17T16:01:05.333,1.93,-0.022560595,0.0080542015,0.007302574
4,E25AD03D0194,1721221265353,2024-07-17T16:01:05.353,1.95,-0.023079023,0.009765761,0.010923118
4,E25AD03D0194,1721221265363,2024-07-17T16:01:05.363,1.96,-0.019189114,0.012085679,0.011014884
4,E25AD03D0194,1721221265383,2024-07-17T16:01:05.383,1.98,-0.024096427,0.013338813,0.01120803
4,E25AD03D0194,1721221265393,2024-07-17T16:01:05.393,1.99,-0.023129106,0.012264007,0.013268175
4,E25AD03D0194,1721221265403,2024-07-17T16:01:05.403,2,-0.021649092,0.016170228,0.008995888
4,E25AD03D0194,1721221265413,2024-07-17T16:01:05.413,2.01,-0.022611553,0.016658533,0.009597511
4,E25AD03D0194,1721221265423,2024-07-17T16:01:05.423,2.02,-0.02163499,0.01421713,0.0066678138
4,E25AD03D0194,1721221265453,2024-07-17T16:01:05.453,2.05,-0.023099832,0.007381199,0.008620937
4,E25AD03D0194,1721221265463,2024-07-17T16:01:05.463,2.06,-0.024564676,0.009822602,0.0076443753
4,E25AD03D0194,1721221265473,2024-07-17T16:01:05.473,2.07,-0.023099832,0.009822602,0.008620937
4,E25AD03D0194,1721221265483,2024-07-17T16:01:05.483,2.08,-0.023588113,0.011287445,0.0076443753
4,E25AD03D0194,1721221265503,2024-07-17T16:01:05.503,2.1,-0.022123272,0.009822602,0.0071560945
4,E25AD03D0194,1721221265513,2024-07-17T16:01:05.513,2.11,-0.023588113,0.010310884,0.011550634
4,E25AD03D0194,1721221265553,2024-07-17T16:01:05.553,2.15,-0.023206806,0.012270085,0.0071796407
4,E25AD03D0194,1721221265563,2024-07-17T16:01:05.563,2.16,-0.021772208,0.014078114,0.0067144562
4,E25AD03D0194,1721221265573,2024-07-17T16:01:05.573,2.17,-0.021797977,0.010041848,0.0077215414
4,E25AD03D0194,1721221265583,2024-07-17T16:01:05.583,2.18,-0.022314169,0.011854959,0.010195414
4,E25AD03D0194,1721221265593,2024-07-17T16:01:05.593,2.19,-0.023318445,0.012201938,0.009253412
4,E25AD03D0194,1721221265603,2024-07-17T16:01:05.603,2.2,-0.024325544,0.005703603,0.010260461
4,E25AD03D0194,1721221265623,2024-07-17T16:01:05.623,2.22,-0.020474339,0.017653147,0.0068674027
4,E25AD03D0194,1721221265633,2024-07-17T16:01:05.633,2.23,-0.020990336,0.012647989,0.005890841
4,E25AD03D0194,1721221265643,2024-07-17T16:01:05.643,2.24,-0.021992473,0.0130228065,0.009308758
4,E25AD03D0194,1721221265663,2024-07-17T16:01:05.663,2.26,-0.023510413,0.0132589,0.007876238
4,E25AD03D0194,1721221265673,2024-07-17T16:01:05.673,2.27,-0.02253395,0.014703271,0.012796401
4,E25AD03D0194,1721221265683,2024-07-17T16:01:05.683,2.28,-0.020580728,0.02005536,0.005018359
4,E25AD03D0194,1721221265703,2024-07-17T16:01:05.703,2.3,-0.02351051,0.014628171,0.008538362
4,E25AD03D0194,1721221265713,2024-07-17T16:01:05.713,2.31,-0.02351051,0.012642981,0.0051786234
4,E25AD03D0194,1721221265723,2024-07-17T16:01:05.723,2.32,-0.021557387,0.010173691,0.008159011
4,E25AD03D0194,1721221265733,2024-07-17T16:01:05.733,2.33,-0.023998791,0.011128688,0.007709799
4,E25AD03D0194,1721221265763,2024-07-17T16:01:05.763,2.36,-0.024486974,0.012041309,0.009290512
4,E25AD03D0194,1721221265773,2024-07-17T16:01:05.773,2.37,-0.022547953,0.012511599,0.0072565638
4,E25AD03D0194,1721221265793,2024-07-17T16:01:05.793,2.39,-0.021605622,0.013935865,0.0070549813
4,E25AD03D0194,1721221265803,2024-07-17T16:01:05.803,2.4,-0.022601245,0.015379167,0.007917787
4,E25AD03D0194,1721221265813,2024-07-17T16:01:05.813,2.41,-0.023594435,0.011456315,0.009278696
4,E25AD03D0194,1721221265823,2024-07-17T16:01:05.823,2.42,-0.02115303,0.015362562,0.004884157
4,E25AD03D0194,1721221265843,2024-07-17T16:01:05.843,2.44,-0.018223248,0.0168757,0.017979972
4,E25AD03D0194,1721221265853,2024-07-17T16:01:05.853,2.45,-0.017734969,0.018365826,0.017445596
4,E25AD03D0194,1721221265863,2024-07-17T16:01:05.863,2.46,-0.02017647,0.02179787,0.012537163
4,E25AD03D0194,1721221265883,2024-07-17T16:01:05.883,2.48,-0.022605134,0.018868184,0.011175428
4,E25AD03D0194,1721221265893,2024-07-17T16:01:05.893,2.49,-0.020638105,0.018868184,0.0073813447
4,E25AD03D0194,1721221265903,2024-07-17T16:01:05.903,2.5,-0.025996357,0.013985364,0.008461086
4,E25AD03D0194,1721221265913,2024-07-17T16:01:05.913,2.51,-0.025005888,0.009590837,0.011991203
4,E25AD03D0194,1721221265933,2024-07-17T16:01:05.933,2.53,-0.021070467,0.009147314,0.0038452477
4,E25AD03D0194,1721221266163,2024-07-17T16:01:06.163,2.76,-0.01900094,0.017857196,0.008919208
4,E25AD03D0194,1721221266173,2024-07-17T16:01:06.173,2.77,-0.023395466,0.01787881,0.009368383
4,E25AD03D0194,1721221266183,2024-07-17T16:01:06.183,2.78,-0.021442246,0.018392788,0.010786571
4,E25AD03D0194,1721221266203,2024-07-17T16:01:06.203,2.8,-0.020954063,0.018433439,0.009736101
4,E25AD03D0194,1721221266213,2024-07-17T16:01:06.213,2.81,-0.022907186,0.017945157,0.0087595275
4,E25AD03D0194,1721221266233,2024-07-17T16:01:06.233,2.83,-0.019977404,0.016513538,0.010164027
4,E25AD03D0194,1721221266243,2024-07-17T16:01:06.243,2.84,-0.020953964,0.018486973,0.010615415
4,E25AD03D0194,1721221266253,2024-07-17T16:01:06.253,2.85,-0.021930527,0.020464482,0.0081296535
4,E25AD03D0194,1721221266263,2024-07-17T16:01:06.263,2.86,-0.019489123,0.020986993,0.008555647
4,E25AD03D0194,1721221266273,2024-07-17T16:01:06.273,2.87,-0.020465685,0.018578531,0.009472195
4,E25AD03D0194,1721221266283,2024-07-17T16:01:06.283,2.88,-0.021930527,0.020075416,0.011855104
4,E25AD03D0194,1721221266303,2024-07-17T16:01:06.303,2.9,-0.019489123,0.02109907,0.011769332
4,E25AD03D0194,1721221266323,2024-07-17T16:01:06.323,2.92,-0.020953964,0.01918407,0.006816858
4,E25AD03D0194,1721221266343,2024-07-17T16:01:06.343,2.94,-0.019977404,0.017749568,0.00773811
4,E25AD03D0194,1721221266353,2024-07-17T16:01:06.353,2.95,-0.021442246,0.01872613,0.0072498294
4,E25AD03D0194,1721221266363,2024-07-17T16:01:06.363,2.96,-0.020465685,0.01872613,0.0067615486
4,E25AD03D0194,1721221266373,2024-07-17T16:01:06.373,2.97,-0.020953964,0.015322204,0.009665499
4,E25AD03D0194,1721221266383,2024-07-17T16:01:06.383,2.98,-0.022418808,0.016315175,0.010123852
4,E25AD03D0194,1721221266393,2024-07-17T16:01:06.393,2.99,-0.019489123,0.01633691,0.010572382
4,E25AD03D0194,1721221266413,2024-07-17T16:01:06.413,3.01,-0.020465782,0.021771125,0.011433487
4,E25AD03D0194,1721221266423,2024-07-17T16:01:06.423,3.02,-0.020465782,0.021319896,0.010389034
4,E25AD03D0194,1721221266433,2024-07-17T16:01:06.433,3.03,-0.0199775,0.021835867,0.01180298
4,E25AD03D0194,1721221266783,2024-07-17T16:01:06.783,3.38,-0.01848961,0.01772545,0.01293284
4,E25AD03D0194,1721221266793,2024-07-17T16:01:06.793,3.39,-0.019466074,0.019706191,0.010928722
4,E25AD03D0194,1721221266803,2024-07-17T16:01:06.803,3.4,-0.022395663,0.021195175,0.010884196
4,E25AD03D0194,1721221266813,2024-07-17T16:01:06.813,3.41,-0.0214191,0.02121025,0.008415076
4,E25AD03D0194,1721221266853,2024-07-17T16:01:06.853,3.45,-0.021907575,0.019838717,0.009219326
4,E25AD03D0194,1721221266863,2024-07-17T16:01:06.863,3.46,-0.024837164,0.020353327,0.008682434
4,E25AD03D0194,1721221266873,2024-07-17T16:01:06.873,3.47,-0.020442637,0.022334335,0.013025456
4,E25AD03D0194,1721221266883,2024-07-17T16:01:06.883,3.48,-0.020442734,0.02089456,0.011514251
4,E25AD03D0194,1721221266893,2024-07-17T16:01:06.893,3.49,-0.019954452,0.021893924,0.010495484
